iter	Logloss
0	0.6723962402
1	0.6540737083
2	0.6372110263
3	0.6226441539
4	0.6112644265
5	0.5997021484
6	0.589811013
7	0.5812708629
8	0.573536155
9	0.567012884
10	0.5607143333
11	0.5551093084
12	0.5499868497
13	0.5461384166
14	0.5422121915
15	0.5401640181
16	0.5366028942
17	0.5345204856
18	0.5312052779
19	0.5288263494
20	0.5266199285
21	0.5249968373
22	0.5236401367
23	0.5221214156
24	0.5210018643
25	0.5201894309
26	0.5194500178
27	0.5173712713
28	0.5160249467
29	0.5147745028
30	0.513793224
31	0.5119315962
32	0.5113709606
33	0.5100176447
34	0.5092685769
35	0.5083437278
36	0.5079022772
37	0.5070035622
38	0.5062306907
39	0.5058898926
40	0.5051659601
41	0.5049563876
42	0.5042959317
43	0.5039684504
44	0.5034609153
45	0.5030005993
46	0.502580178
47	0.5020448997
48	0.5016441761
49	0.5012861217
50	0.5008214222
51	0.5006000311
52	0.500310447
53	0.5001649059
54	0.5000036066
55	0.4995020086
56	0.4990998979
57	0.4988660223
58	0.4986251554
59	0.4983438388
60	0.4980966464
61	0.4979326838
62	0.4977146218
63	0.4974492853
64	0.4972286155
65	0.4969668857
66	0.4967355069
67	0.496422563
68	0.4960024192
69	0.4957632724
70	0.4954667525
71	0.4952540172
72	0.4950808438
73	0.4949371893
74	0.4947167414
75	0.4946406694
76	0.4943706721
77	0.4942224676
78	0.49402943
79	0.4938105358
80	0.4935952481
81	0.4933961071
82	0.4931697221
83	0.4929969371
84	0.4928698176
85	0.4926837713
86	0.4924765847
87	0.4922597989
88	0.4920988881
89	0.491887318
90	0.491681574
91	0.4915389737
92	0.4913203569
93	0.4911608887
94	0.4909852739
95	0.4907651589
96	0.4906926935
97	0.4906028054
98	0.4905183549
99	0.4904201993
100	0.4903073398
101	0.4901847701
102	0.4900778476
103	0.4899416282
104	0.4897683993
105	0.4895960582
106	0.4894774836
107	0.4892796742
108	0.4891094416
109	0.4888128107
110	0.4886983421
111	0.4884928755
112	0.4883535489
113	0.4882428533
114	0.4880889338
115	0.4878831898
116	0.4877656694
117	0.4875792347
118	0.4874594949
119	0.4872256747
120	0.4870619895
121	0.486922219
122	0.4868526389
123	0.4867152544
124	0.4865409712
125	0.4863404985
126	0.4861431885
127	0.4860089666
128	0.4857885742
129	0.4856286621
130	0.4855229048
131	0.4853676536
132	0.4852168413
133	0.4851141912
134	0.4850183105
135	0.4848111239
136	0.4846530984
137	0.4845098877
138	0.4844117321
139	0.4842388361
140	0.4840576172
141	0.4839287775
142	0.4838631925
143	0.4837688654
144	0.4835694469
145	0.4833781294
146	0.4832412997
147	0.4831549627
148	0.4830143599
149	0.4828604403
150	0.4827191717
151	0.4825584273
152	0.4824564986
153	0.4823677202
154	0.4822517534
155	0.4821455522
156	0.4819950728
157	0.4818969727
158	0.481714644
159	0.4815803667
160	0.481428833
161	0.4812411776
162	0.4810521906
163	0.4809649103
164	0.4808098256
165	0.4806932484
